title,authors,year,venue,id,local_pdf_or_url,fulltext_status,coordinate,quoted_mechanism,topic,counted
Online forecast reconciliation using linear models,"Christensen; Madsen; Moller",2026,arXiv,2606.23326,D:/AI_Memory/papers/raw/2606.23326.pdf,fulltext_local_35pp,"Sec2: online linear reconciliation","Online adaptive forecasting with linear reconciliation",forecast_postprocessing,yes
Less Tokens Better Forecasts: Sparse Residual,"Janet Wang; et al.",2026,arXiv,2607.02829,D:/AI_Memory/papers/raw/2607.02829.pdf,fulltext_local_24pp,"Sec3: sparse residual learning","ViT weather with sparse residual learning",structured_refinement,no
Unified Spatio-Temporal Anomaly Detection,"(unlisted)",2026,arXiv,2604.03344,D:/AI_Memory/papers/raw/2604.03344.pdf,fulltext_local_27pp,"Sec3: ST anomaly detection","Unified spatio-temporal detection",episode_extreme,no
PACT: Peak-Aware Cross-Attention Graph,"(unlisted)",2026,arXiv,2605.09036,D:/AI_Memory/papers/raw/2605.09036.pdf,fulltext_local_41pp,"Sec3: peak-aware attention","Peak-aware cross-attention for peak prediction",episode_extreme,no
Asymmetric Peak-Aware Loss,"(unlisted)",2026,arXiv,2607.14871,D:/AI_Memory/papers/raw/2607.14871.pdf,fulltext_local_36pp,"Sec3: asymmetric peak loss","Asymmetric peak-aware loss for peak-critical forecasting",episode_extreme,no
Regime-Adaptive Weighted Ensemble,"(unlisted)",2026,arXiv,2604.27207,D:/AI_Memory/papers/raw/2604.27207.pdf,fulltext_local_7pp,"Sec2: regime-adaptive ensemble","Regime-adaptive weighted ensemble",episode_extreme,no
Forecasting Emergence of Crash Hotspots,"(unlisted)",2026,arXiv,2607.24168,D:/AI_Memory/papers/raw/2607.24168.pdf,fulltext_local_26pp,"Sec3: episode detection","Crash hotspot emergence/episode detection",episode_extreme,no
Resilient Load Forecasting under Climate Change,"(unlisted)",2026,arXiv,2602.04609,D:/AI_Memory/papers/raw/2602.04609.pdf,fulltext_local_9pp,"Sec3: adaptive conditional neural fields","Adaptive conditional neural fields for extreme load",episode_extreme,no
End-to-End Object Detection with Transformers (DETR),"Nicolas Carion; Francisco Massa; Gabriel Synnaeve; Nicolas Usunier; Alexander Kirillov; Sergey Zagoruyko",2020,ECCV,2005.12872,https://arxiv.org/abs/2005.12872,fulltext_url_arxiv,"Sec3.1: L_match(y,ŷ)=sum_i[-1_{sigma(i)!=empty} p_hat + 1_{...} L_box]; Hungarian sigma","Bipartite matching + set prediction",temporal_set_prediction,yes
ActionFormer: Localizing Moments of Actions with Transformers,"Chenlin Zhang; Jianxin Wu; Yin Li",2022,ECCV,2202.07925,https://arxiv.org/abs/2202.07925,fulltext_url_arxiv,"Abstract: classify every moment + estimate action boundaries","Per-moment classification + boundary estimation, no proposals",temporal_set_prediction,yes
